PALABRA,FONEMA,TRADUCCIÓN
wound,wuːnd,herida
wow,waʊ,Guau!!
wrap,ræp,Envolver; burrito (comida)
wrist,rist,muñeca
write,raɪt,Escribir
writer,Raiter,escritor
writing,ˈraɪtɪŋ,escritura
written,ˈrɪtn,escrito
wrong,rɒŋ,equivocado
yard,jɑːrd,"Patio, yarda"
yeah,jɛə,Intej. vale
year,ˈjɪəʳ(yiar),año
yell,jel,"Gritar, chillar"
yellow,ˈjeləʊ,amarillo
yes,jes,Si
yesterday,ˈjestədeɪ,ayer
yet,jet,"Todavía, aún"
yield,jiːld,"Rendimiento; ceder (la palabra,
terreno, paso, etc)"
you,juː,"Tú, usted"
young,jʌŋ,"Joven, juvenil"
youngster,‘jʌŋstəʳ,"Joven, muchacho"
your,ˈjʊəʳ,"Tú, su, vuestro; tuyo, suyo, su"
yours,ˈjʊərz,"Tuya, suya"
yourself,yərˈself,Usted mismo
youth,juːðz,"Juventud, joven"
zone,zəʊn,zona
